timestamp,room_id,temperature,humidity,gas,flame,temperature_rate,status,risk_score,data_source
2026-09-07T09:00:00Z,ROOM_1,25.1,56.0,120,0,0.0,SAFE,2,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T09:02:00Z,ROOM_1,25.3,55.8,121,0,0.1,SAFE,2,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T09:04:00Z,ROOM_1,25.2,56.1,122,0,-0.1,SAFE,2,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T10:00:00Z,ROOM_2,31.0,51.0,130,0,1.2,SAFE,10,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T10:02:00Z,ROOM_2,35.2,49.0,135,0,2.1,WARNING,28,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T10:04:00Z,ROOM_2,41.0,46.0,142,0,2.9,WARNING,40,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T11:00:00Z,ROOM_3,48.0,38.0,320,0,5.0,WARNING,55,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T11:02:00Z,ROOM_3,57.0,34.0,480,0,8.5,HIGH_RISK,76,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T11:04:00Z,ROOM_3,63.0,30.0,610,0,7.2,HIGH_RISK,82,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T12:00:00Z,ROOM_4,58.0,30.0,720,1,10.0,HIGH_RISK,88,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T12:02:00Z,ROOM_4,73.0,24.0,900,1,16.0,FIRE,98,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T12:04:00Z,ROOM_4,78.0,21.0,950,1,12.0,FIRE,99,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T13:00:00Z,ROOM_5,25.0,55.0,125,0,0.0,SAFE,2,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T13:02:00Z,ROOM_5,52.0,54.0,126,0,13.5,WARNING,35,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
2026-09-07T13:04:00Z,ROOM_5,25.4,55.0,124,0,-13.0,SAFE,3,SYNTHETIC_SIMULATION_NOT_REAL_EXPERIMENTAL_DATA
